question,answer
How to file FIR?,You can file an FIR at the nearest police station. Carry a written complaint with full details of the incident. The police are legally bound to register your FIR.
Police not taking complaint,You can approach the Superintendent of Police or file complaint online at your state police website. You can also approach the Magistrate directly under Section 156(3) CrPC.
How to report cyber crime?,Visit cybercrime.gov.in to report cyber crimes online. You can also call the national cybercrime helpline at 1930.
Cyber fraud happened,Report immediately on cybercrime.gov.in or call 1930. Also inform your bank immediately to block transactions. Take screenshots as evidence.
How to file RTI?,Submit RTI application to the concerned government department with a fee of Rs. 10. You can also file RTI online at rtionline.gov.in.
What is consumer court?,"Consumer court handles complaints against defective products or poor services. There are three levels - District, State and National Consumer Disputes Redressal Commission."
How to file consumer complaint?,You can file complaint online at edaakhil.nic.in. You can also visit the nearest District Consumer Forum. Attach all bills and communication as proof.
Domestic violence help,Contact women helpline 1091 or nearest police station. You can also approach a Protection Officer under the Domestic Violence Act 2005. NGOs like iCall can also assist.
How to get legal aid?,"You can approach the District Legal Services Authority (DLSA) for free legal aid. Eligible persons include women, SC/ST, disabled, and people with income below Rs. 1 lakh."
What to do after accident?,Inform police immediately and file an FIR. Seek medical help. Inform your insurance company within 24 hours. Collect details of other vehicles involved.
Property dispute solution,Consult a civil lawyer and approach the civil court. You can also try mediation or lok adalat for faster resolution. Keep all property documents ready.
How to register complaint against company?,You can file complaint in consumer court at edaakhil.nic.in or approach the company's grievance officer first. Keep all receipts and emails as evidence.
How to check FIR status?,Visit your state police website and enter the FIR number. You can also visit the police station where FIR was filed and ask for update.
Lost documents what to do?,File a police complaint for lost documents immediately. Also publish a notice in a local newspaper. Apply for duplicate documents to the issuing authority.
How to complain against harassment?,You can file complaint at nearest police station. For workplace harassment file complaint to Internal Complaints Committee. You can also approach women's commission.
How to file police complaint online?,Visit your state police website and look for online complaint portal. Fill in your details and describe the incident clearly with date time and location.
Tenant not paying rent,You can file case in civil court for eviction and rent recovery. Send a legal notice first. Check your rental agreement for terms.
Divorce process in India,File petition in family court with legal assistance. Mutual consent divorce takes around 6 months. Contested divorce may take longer. Contact a family lawyer.
What is bail?,Bail allows temporary release from custody by court order. There are regular bail and anticipatory bail options. Consult a lawyer to apply for bail.
What is legal notice?,Legal notice is a formal communication sent before taking legal action. It gives the other party a chance to settle the matter. Send through a registered lawyer.
How to complain against police?,File complaint with the Superintendent of Police or State Police Complaints Authority. You can also approach the High Court. Keep all evidence of misconduct.
What is FIR?,FIR stands for First Information Report. It is a written document prepared by police when they receive information about a cognizable offence. It is the first step in criminal proceedings.
What is a cognizable offence?,A cognizable offence is a serious crime where police can arrest without a warrant. Examples include murder rape robbery and kidnapping.
What is a non-cognizable offence?,A non-cognizable offence is a less serious crime where police cannot arrest without a warrant. Examples include cheating assault and defamation.
How to get anticipatory bail?,Apply for anticipatory bail in Sessions Court or High Court through a lawyer before arrest. You must show reasons why you fear arrest.
What is Lok Adalat?,Lok Adalat is an alternative dispute resolution system in India. It helps settle cases quickly and cheaply outside court. Both parties must agree to the settlement.
How to report online fraud?,Call cybercrime helpline 1930 immediately. Visit cybercrime.gov.in. Inform your bank to freeze the transaction. Keep all transaction screenshots as evidence.
What to do if cheated online?,Report to cybercrime.gov.in or call 1930. File a police complaint with screenshots and transaction details. Inform your bank immediately to stop further loss.
How to file case against fraud company?,File complaint with police and also with the Registrar of Companies. You can also approach consumer court if you lost money on a product or service.
What is POCSO?,POCSO stands for Protection of Children from Sexual Offences Act 2012. It protects children below 18 from sexual abuse. Any such complaint must be reported to police immediately.
Child abuse complaint,Call Childline helpline 1098 immediately. You can also report to nearest police station. POCSO Act 2012 provides strict punishment for offenders.
Women safety helpline,Call 1091 for women helpline. You can also call 112 for emergency police assistance. Mahila Thana or women police stations are available in most cities.
